title,url,author,time,content,sentiment_label
1張「32萬元變4萬」！富邦小台積電0052 分割 倒數 9/25受益人大會,https://tw.news.yahoo.com/1%E5%BC%B5%E3%80%8C32%E8%90%AC%E5%85%83%E8%AE%8A4%E8%90%AC%E3%80%8D%EF%BC%81%E5%AF%8C%E9%82%A6%E5%B0%8F%E5%8F%B0%E7%A9%8D%E9%9B%BB0052-%E5%88%86%E5%89%B2-%E5%80%92%E6%95%B8-925%E5%8F%97%E7%9B%8A%E4%BA%BA%E5%A4%A7%E6%9C%83-080040575.html,陳依旻｜Yahoo財經特派記者,2025/08/26 16:00,"有小台積電之稱的富邦科技（0052）將於9月25日召開受益人大會，決議是否啟動分割，將有助吸引更多散戶參與。若分割案通過，0052將以受益人會議當日基金淨值為基準，採回到發行價32.48元以上最大整數倍為分割倍數，預計完成後，每張入手價僅需約4萬元。digital illustration of blocks spelling ETF (exchange traded fund)富邦投信指出，隨台股行情變化，至8月22日0052每單位淨值為201.33元，考量市場習慣的交易價格區間，使市價更貼近基金淨值波動，維持基金之長期可交易性，擬透過受益人會議決議是否進行分割作業。富邦投信指出，者次本基金執行分割作業之分割倍數目前預估為 6 倍，然實際執行之分割倍數，需依受益人會議通過當日之分割後淨值計算，並以大於或等於初次發行價格的最大整數倍辦理。因此，提供受益人參考之舉例設算情況說明如後，若淨值介於162.40至194.87元間，分割倍數為5倍；若淨值介於194.88至227.35元間，分割倍數為6倍；若淨值介於227.36至259.83元間，分割倍數為7倍，以此類推。0052分割議案將於9月25日以書面方式召開受益人會議，議題為是否同意「富邦台灣科技指數證券投資信託基金」進行分割，並授權經理公司以最大整數倍為分割倍數。並自8月27日至9月25日停止0052基金受益憑證過戶，同時8/19為信用交易最後回補日，停止融券賣出。0052持有人於9月3日起將收到開會通知書，可選擇書面投票或透過「集保e手掌握」、各大證券下單app進入集保電子投票平台投票，約數分鐘內即可完成，惟須留意電子投票時間為9月4日至9月22日晚間24時止。分割議案是否通過，須經持有代表已發行受益憑證之受益權單位總數過半以上的受益人出席，並經出席受益人的表決權總數半數以上同意。若通過0052將以受益人會議當日基金淨值為基準，採回到發行價32.48元以上之最大整數倍為分割倍數，進行每單位淨值與持有股數的調整。截至今年7月底，0052受益人數達28,177 人，基金規模約145.34億元。市場預期，若分割順利完成，將進一步釋放「小台積電」的市場吸引力，讓更多投資人以更親民的價格參與AI科技長期成長趨勢。",負向
今彩539 8/26開獎 中獎號碼20:30開獎直播看這篇,https://tw.news.yahoo.com/%E4%BB%8A%E5%BD%A9539-826%E9%96%8B%E7%8D%8E-%E4%B8%AD%E7%8D%8E%E8%99%9F%E7%A2%BC2030%E9%96%8B%E7%8D%8E%E7%9B%B4%E6%92%AD%E7%9C%8B%E9%80%99%E7%AF%87-080022724.html,Yahoo奇摩（即時新聞）,2025/08/26 16:00,今彩539第114207期即將開獎，今彩539每周一到六晚上8時30分固定開獎，民眾可以在三立全民i彩券上收看開獎直播，或可點進台灣彩券官網確認各期獎號與開獎結果。今彩539開獎直播今彩539玩法是什麼？中獎號碼怎麼看？今彩539玩法是1到39個號碼選5個號碼進行投注，一注50元，一周開六期。而113年1月1日開始，包含大樂透、威力彩、今彩539等公益彩券開獎，都可以在【全民i彩券】收看開獎直播。廣告廣告開獎時，開獎單位將隨機開出五個號碼，這一組號碼就是該期今彩539的中獎號碼，也稱為「獎號」。您的五個選號中，如有二個以上（含二個號碼）對中當期開出之五個號碼，即為中獎。今彩539獎金有多少？如何分配？今彩539獎金是固定賠率，彩金分配頭獎（5個號碼）固定8百萬元、貳獎（4個號碼）固定2萬元、參獎（3個號碼）固定300元、肆獎（兩個號碼）50元。今彩539怎麼兌獎？有期限嗎？開獎完畢的10分鐘後便能領獎，且須在開獎隔日起三個月內完成。5000元以內獎項，可至電腦型彩券經銷商、中國信託商業銀行等指定金融機構兌換。5001元～500萬元獎項，則須至中國信託商業銀行等指定金融機構兌換。超過500萬元的獎項，為保障中獎人隱私，中獎人須事先透過高額兌獎專線0800-024-500預約，並完成驗證程序，才能兌獎，服務時間為周一到周五早上9時～下午5時。台灣彩券推出哪些彩券？台灣彩券分為電腦型彩券與刮刮樂兩種，電腦型彩券則有：威力彩大樂透今彩57939樂合彩49樂合彩3星彩4星彩BINGO BINGO 賓果賓果看更多👉威力彩開獎號碼、時間為何？3分鐘搞懂威力彩玩法台灣彩券電腦型彩券開獎日期。圖片來源：台灣彩券網站運動彩券是什麼？怎麼玩？運動彩券則是由台灣運動彩券公司發行，以各類運動競技為標的，預測賽事過程及其結果的彩券；相較於威力彩、大樂透等選號型彩券，運彩需透過研究運動賽事來增加獲利機會。分為實體購買與線上投注，前者前往住家附近的台灣運彩彩券行，以現金方式投注；後者須先申請台灣運彩虛擬通路會員，入金儲值後，即可24小時線上投注不受限。比賽前或比賽中均可投注，不同球類玩法不盡相同，看更多運彩詳細玩法👉運彩怎麼買？賠率是什麼？運彩中獎又該如何領獎？Yahoo奇摩新聞提醒您：未成年人不得購買或兌領彩券，彩券有賺有賠，請節制投注，考量風險容忍度，其他規範請參照台灣彩券官方網站。,中性
豪宅市場吹冷風來襲　北市「200萬俱樂部」買氣腰斬,https://tw.news.yahoo.com/%E8%B1%AA%E5%AE%85%E5%B8%82%E5%A0%B4%E5%90%B9%E5%86%B7%E9%A2%A8%E4%BE%86%E8%A5%B2-%E5%8C%97%E5%B8%82%E3%80%8C200%E8%90%AC%E4%BF%B1%E6%A8%82%E9%83%A8%E3%80%8D%E8%B2%B7%E6%B0%A3%E8%85%B0%E6%96%AC-080014020.html,住展房屋網,2025/08/26 16:00,文／住展雜誌台北市高總價住宅市場明顯降溫，「200萬俱樂部」豪宅買氣今（2025）年上半年呈現腰斬態勢。根據實價登錄資料，今年上半年北市豪宅成屋交易僅7件，較去年同期28件大減75％；預售案則成交31件，也較去年的66件減少53％。房市大環境不穩，加上美中關稅戰干擾及全球政經情勢動盪，讓高資產族群對於高單價產品的置產效益產生疑慮。同時，豪宅涉及的高持有成本、貸款限制與法人購屋審查制度等政策因素，也進一步壓抑購買意願。信義、中山退燒最為劇烈各行政區中，信義區去年上半年尚有12件中古豪宅成交，今年同期卻僅剩1件交易，幾近全面停滯；中山區豪宅市場則「全面掛零」，去年仍有8件中古交易、18件預售成交，相較之下今年買氣明顯消退。大家房屋企劃研究室公關主任賴志昶分析，高總價住宅動輒數億元，加上央行實施多輪選擇性信用管制及維持高利率水準，使得高資產族群資金運用愈發保守，導致信義、中山兩大指標豪宅區交易急凍。圖片住展雜誌提供然而，大安區受惠於優質學區與生活機能，仍具剛性需求支撐，吸引本地高資產族群進場；松山區則因交通便利與新案釋出，讓豪宅市場維持基本交易量。賴志昶指出，台北市豪宅市場正朝區域分化方向發展，傳統蛋黃區不再代表成交保證，未來能兼顧自住需求與生活機能的地段，將更具抗壓與抗震性。考量資金成本仍居高不下，以及政策壓力仍在，高總價住宅短期內恐怕難以重現過往榮景。《住展雜誌》創立於1985年，是全台第一家房產媒體擁有最豐富且即時的預售屋、新成屋資訊以上文章未經授權，禁止擅自轉貼、節錄官方網站：www.myhousing.com.twFB粉絲團：www.facebook.com/myhousingfan,中性
豬肝嫩到不科學！這碗什錦湯配油飯真的太對味,https://tw.news.yahoo.com/%E8%B1%AC%E8%82%9D%E5%AB%A9%E5%88%B0%E4%B8%8D%E7%A7%91%E5%AD%B8%EF%BC%81%E9%80%99%E7%A2%97%E4%BB%80%E9%8C%A6%E6%B9%AF%E9%85%8D%E6%B2%B9%E9%A3%AF%E7%9C%9F%E7%9A%84%E5%A4%AA%E5%B0%8D%E5%91%B3-080008415.html,Irene's 食旅．時旅｜Yahoo旅遊達人,2025/08/26 16:00,台北北投｜勝記油飯北投關渡的勝記油飯，是在地的人氣美食，跟阿成切仔麵一樣擁有眾多的支持者，只要到關渡都會順便外帶一斤油飯回家，這次特地來內用，想試試看店內的什錦麵。中午用餐時間排隊外帶的人潮非常多，用完餐出來還是有人在排隊，生意非常好，內用不用排，自己入內找座位坐然後拿菜單點餐即可，大多數民眾都是選擇外帶，因此內用座位不難找。台北北投｜勝記油飯台北北投｜勝記油飯勝記油飯的菜單，除了油飯還有麵、米粉和冬粉，很多人都是一碗油飯配一碗什錦湯或豬肝湯。台北北投｜勝記油飯簡簡單單的燙青菜，調味單純不厚重，單純補充蔬菜的營養。台北北投｜勝記油飯油豆腐就普通。台北北投｜勝記油飯乾拌小菜系列看起來似乎都是煮湯的食材，可做湯的也能用來做乾拌，乾拌豬腸處理的算乾淨，沒有腥味也沒有苦味，上桌時是沒有醬汁的，自己加了點甜辣醬增加調味。台北北投｜勝記油飯一份55元的乾拌蚵仔很便宜，但份量也不多，蚵仔偏瘦小，但甜味跟鮮味是有的，新鮮度有到位。台北北投｜勝記油飯三重就有不少好吃的油飯，不過勝記油飯的油飯明顯不同路線，看似平凡無奇，索然無味，但油飯拌入油蔥與肉燥，不僅粒粒分明微帶Q，吃起來鹹香、不油膩，讓人忍不住會一口接一口。台北北投｜勝記油飯台北北投｜勝記油飯店外另外提供有甜辣醬，喜歡重口味的朋友可以添加。台北北投｜勝記油飯什錦湯內有豬肝、豬腸、赤肉，一次能吃到三種部位，湯頭清爽，薑絲壓腥剛剛好，勝記油飯的豬肝很厲害，煮到不老不硬，軟嫩到令人驚訝的程度，但一點血水都沒有，好神奇。台北北投｜勝記油飯不愛吃油飯點碗什錦麵也不錯，料多又便宜。台北北投｜勝記油飯台北北投｜勝記油飯勝記油飯的油飯百吃不厭，這次新嘗試了什錦麵也很可以，價位不貴的平民小吃，想吃就得加入排隊人潮囉。勝記油飯所在地址：臺灣台北市北投區知行路316巷3號營業時間：日 一 二 三 四 五 六 06:30-14:30店家電話：02-2858-5544文章來源：Irene's 食旅．時旅,中性
大樂透8/26開獎 中獎號碼20:30開獎直播看這篇,https://tw.news.yahoo.com/%E5%A4%A7%E6%A8%82%E9%80%8F826%E9%96%8B%E7%8D%8E-%E4%B8%AD%E7%8D%8E%E8%99%9F%E7%A2%BC2030%E9%96%8B%E7%8D%8E%E7%9B%B4%E6%92%AD%E7%9C%8B%E9%80%99%E7%AF%87-080007119.html,Yahoo奇摩（即時新聞）,2025/08/26 16:00,大樂透第114082期即將開獎，大樂透於每周二、五晚上8時30分固定開獎，民眾可以在三立全民i彩券上收看開獎直播，或可點進台灣彩券官網確認各期獎號與開獎結果。大樂透開獎直播大樂透玩法是什麼？中獎號碼怎麼看？大樂透玩法很簡單，從1～49選出6個號碼，進行投注。每晚8時即停止受理投注，固定每周二、五開獎，並於同日晚上8時30分開出當期獎號。一注50元，有三種投注方式：畫記選號、口頭投注、智慧型手機電子選號單（QR Code）投注。而113年1月1日開始，包含大樂透、威力彩、今彩539等公益彩券開獎，都可以在【全民i彩券】收看開獎直播。開獎會開出6個號碼＋1個特別號，這組號碼便是當期大樂透的中獎號碼。買家選號如果對中當期開出的3個號碼（含）以上，就算中獎。頭獎則必須完全對中當期不包括特別號的6個獎號，才算成功。也就是說大樂透中兩個號碼是沒有獎金的，至少要中3個號碼以上才有獎金。需要注意的是，特別號僅適用於貳、肆、陸、柒獎，中獎形式為對中部分當期獎號以及特別號。看更多👉大樂透開獎號碼、時間為何？大樂透玩法QA懶人包大樂透獎金有多少？如何分配？大樂透總獎金為當期的總投注金額乘以0.56。伍獎獎金固定每注2000元、陸獎每注1000元、柒獎及普獎每注400元，扣除這些固定金額後，剩下的獎金將依比例分配給頭獎82%（保底獎金1億元）、貳獎6.5%、參獎7%、肆獎4.5%。要是頭獎至肆獎皆無人中獎，獎金會併入下一期的各該獎項。大樂透怎麼兌獎？有期限嗎？開獎完畢的10分鐘後便能領獎，且須在開獎隔日起三個月內完成。5000元以內獎項，可至電腦型彩券經銷商、中國信託商業銀行等指定金融機構兌換。5001元～500萬元獎項，則須至中國信託商業銀行等指定金融機構兌換。超過500萬元的獎項，為保障中獎人隱私，中獎人須事先透過高額兌獎專線0800-024-500預約，並完成驗證程序，才能兌獎，服務時間為周一到周五早上9時～下午5時。看更多👉大樂透獎金有多少？怎麼計算？有兌領期限嗎？大樂透。（中央社資料照）台灣彩券推出哪些彩券？台灣彩券分為電腦型彩券與刮刮樂兩種，電腦型彩券則有：威力彩大樂透今彩57939樂合彩49樂合彩3星彩4星彩BINGO BINGO 賓果賓果看更多👉威力彩開獎號碼、時間為何？3分鐘搞懂威力彩玩法台灣彩券電腦型彩券開獎日期。圖片來源：台灣彩券網站運動彩券是什麼？怎麼玩？運動彩券則是由台灣運動彩券公司發行，以各類運動競技為標的，預測賽事過程及其結果的彩券；相較於威力彩、大樂透等選號型彩券，運彩需透過研究運動賽事來增加獲利機會。分為實體購買與線上投注，前者前往住家附近的台灣運彩彩券行，以現金方式投注；後者須先申請台灣運彩虛擬通路會員，入金儲值後，即可24小時線上投注不受限。比賽前或比賽中均可投注，不同球類玩法不盡相同，看更多運彩詳細玩法👉運彩怎麼買？賠率是什麼？運彩中獎又該如何領獎？看更多大樂透、威力彩相關新聞台彩「天選之人」連中2次億萬富翁 人生因此波濤起伏台彩絕不可能造假！董座黃志宜親口破除三大迷思：連我都沒明牌爽中近8千萬全花光！頭獎得主今做臨時工 日薪「領嘸300元」Yahoo奇摩新聞提醒您：未成年人不得購買或兌領彩券，彩券有賺有賠，請節制投注，考量風險容忍度，其他規範請參照台灣彩券官方網站。,中性
「睡前5壞習慣」害你老得快又睡不好！  醫教正確晚間保養與助眠流程,https://tw.news.yahoo.com/%E7%9D%A1%E5%89%8D5%E5%A3%9E%E7%BF%92%E6%85%A3-%E5%AE%B3%E4%BD%A0%E8%80%81%E5%BE%97%E5%BF%AB%E5%8F%88%E7%9D%A1%E4%B8%8D%E5%A5%BD-%E9%86%AB%E6%95%99%E6%AD%A3%E7%A2%BA%E6%99%9A%E9%96%93%E4%BF%9D%E9%A4%8A%E8%88%87%E5%8A%A9%E7%9C%A0%E6%B5%81%E7%A8%8B-080000873.html,常春月刊--全宇宙最實用的保健知識,2025/08/26 16:00,你是不是常常睡前滑手機到眼睛痠、躺在床上翻來覆去睡不著？醫師提醒，很多人以為失眠只是壓力大，其實你晚上的生活習慣才是關鍵。長期睡眠不足不只精神差，還會讓皮膚老化加快、免疫力下降、代謝變慢。以下是5個最傷睡眠與健康的睡前壞習慣，以及正確的晚間保養流程。1、睡前滑手機超過30分鐘手機藍光會抑制褪黑激素分泌，讓大腦以為還是白天，延遲入睡時間。改善方法：睡前1小時放下手機，可以改成聽音樂、做伸展。廣告廣告2、睡前吃宵夜或高糖食物高糖高油食物會讓血糖波動，影響深層睡眠品質，還會增加胃食道逆流風險。改善方法：若真的餓，可喝溫牛奶或無糖豆漿，避免刺激腸胃。3、睡前喝酒助眠酒精雖會讓人想睡，但會干擾睡眠週期，使淺眠、做夢頻率增加，醒來更疲累。改善方法：改喝溫熱花草茶（如洋甘菊、檸檬香蜂草）幫助放鬆。4、晚間保養流程太複雜睡前使用過多保養品、反覆清潔，反而可能刺激皮膚、引發過敏。改善方法：晚間保養重點是清潔＋保濕＋修復，選擇成分溫和的產品即可。5、情緒緊繃直接上床壓力會讓交感神經活躍，心跳加快、腦袋停不下來，自然睡不著。改善方法：睡前可做5分鐘深呼吸或冥想，幫助進入放鬆狀態。醫師推薦的「晚間助眠保養流程」·睡前2小時：結束晚餐，避免重口味。·睡前1小時：放下手機，泡溫水澡或泡腳。·睡前30分鐘：簡單保養（清潔、保濕、修護精華）。·睡前10分鐘：關燈深呼吸，讓大腦慢慢進入休息模式。▲小提醒保持固定的睡眠時間、避免週末熬夜補眠，才能讓生理時鐘穩定，長期改善睡眠品質與健康狀態。（記者吳珮均、圖片來源：Dreamstime/典匠影像）延伸閱讀：·睡前吃2顆奇異果有助入睡？醫揭「助眠關鍵」 搭配這些習慣效果更好·看到「訊息未讀紅點」就覺得焦慮？心理師揭「關鍵原因」 這樣做減輕壓力,中性
50歲女性骨質疏鬆預防全攻略！醫教「8招護骨密度」　飲食＋運動一次看懂,https://tw.news.yahoo.com/50%E6%AD%B2%E5%A5%B3%E6%80%A7%E9%AA%A8%E8%B3%AA%E7%96%8F%E9%AC%86%E9%A0%90%E9%98%B2%E5%85%A8%E6%94%BB%E7%95%A5-%E9%86%AB%E6%95%99-8%E6%8B%9B%E8%AD%B7%E9%AA%A8%E5%AF%86%E5%BA%A6-%E9%A3%B2%E9%A3%9F-%E9%81%8B%E5%8B%95-080000685.html,常春月刊--全宇宙最實用的保健知識,2025/08/26 16:00,骨質疏鬆不是老了才會發生的事，50歲後更年期來臨，骨密度下降速度明顯加快，提早保養骨本，才能預防骨折、保持行動力。為什麼50歲女性更容易骨質疏鬆？醫師指出，女性進入更年期後，體內雌激素分泌急速下降，骨質流失速度比男性快得多。根據國健署統計，50歲後女性骨折風險比男性高出2–3倍，常見原因包括：1、雌激素減少→ 骨質代謝失衡2、骨生成能力下降→ 骨細胞修復慢3、生活型態不佳→ 缺運動、高鈉飲食、抽菸、飲酒4、慢性疾病影響→ 甲狀腺疾病、長期服用類固醇等8招骨質疏鬆預防方法1、每日攝取1200毫克鈣質來源：牛奶、優格、小魚乾、豆腐、深綠色蔬菜建議：一次吸收上限約500毫克，建議分次攝取2、補充維生素D來源：日曬10–15分鐘、鮭魚、蛋黃、香菇每日建議攝取量800–1000 IU，有助鈣吸收3、每週3次阻力運動＋負重運動負重：快走、慢跑、登階阻力：啞鈴、深蹲、彈力帶訓練4、避開骨質流失飲食地雷．高鈉飲食（會增加鈣流失）．過量咖啡因與酒精．高磷加工食品（可樂、火腿）5、維持健康體重過瘦（BMI<18.5）會增加骨折風險，適當體重有助保護骨密度6、戒菸尼古丁會抑制骨細胞活性，加速骨質流失7、定期骨密度檢查（DEXA）有家族病史、早發更年期的女性，建議更早檢測8、必要時藥物輔助與醫師討論雙磷酸鹽、荷爾蒙治療等藥物可能性50歲女性護骨一日菜單示範．早餐：低脂牛奶＋全麥吐司＋炒地瓜葉．午餐：糙米飯＋清蒸鮭魚＋涼拌豆腐＋香菇炒青江菜．晚餐：小魚乾炒高麗菜＋雞胸肉沙拉＋優格．點心：無糖豆漿＋杏仁骨質疏鬆預防要趁早，50歲女性可從「飲食補鈣＋曬太陽補維生素D＋規律運動」三大方向著手，再搭配健康生活習慣與定期檢查，就能有效延緩骨質流失，守住骨本，維持行動力與生活品質到老。（記者吳珮均、圖片來源：Dreamstime/典匠影像）延伸閱讀：·吃起司補鈣？ 醫示警「3種吃法」反變骨鬆幫兇：還很傷腎·每天1杯咖啡和茶，反而顧骨本、防骨鬆！ 專家：但超過Ｏ杯效果會減弱,中性
三高飲食怎麼吃？醫公開7大原則＋一日菜單  降血壓、控血糖、護血管,https://tw.news.yahoo.com/%E4%B8%89%E9%AB%98%E9%A3%B2%E9%A3%9F%E6%80%8E%E9%BA%BC%E5%90%83-%E9%86%AB%E5%85%AC%E9%96%8B7%E5%A4%A7%E5%8E%9F%E5%89%87-%E6%97%A5%E8%8F%9C%E5%96%AE-%E9%99%8D%E8%A1%80%E5%A3%93-%E6%8E%A7%E8%A1%80%E7%B3%96-080000648.html,常春月刊--全宇宙最實用的保健知識,2025/08/26 16:00,三高飲食（高血壓飲食、高血糖飲食、高血脂飲食）不只是限制食物，而是透過正確的營養分配，幫助穩定血壓、血糖、血脂，降低心臟病、中風等併發症風險。醫師指出，飲食調整是三高控制中最重要的環節，即使有藥物治療，也必須配合長期的飲食習慣改變，才能真正護血管、延壽命。7大三高飲食原則1、採低鈉飲食，減少鹽分攝取．高血壓飲食最重要的就是低鈉飲食，過多鈉會讓血壓升高、加重腎臟負擔。．技巧：烹調改用天然辛香料（洋蔥、香菇、蒜頭）取代鹽和醬油。．標準：世界衛生組織建議每日鈉不超過2000毫克（約1平茶匙鹽）。2、控糖食物，選擇低GI碳水化合物．高血糖飲食控制的核心是選擇低GI食物（升糖指數低）。．替換方法：白飯換糙米、藜麥；白吐司改全麥麵包；甜飲改無糖茶。．低GI食物可延緩血糖上升，減少胰島素大量分泌。3、好油取代壞油，降血脂護心臟．高血脂飲食建議攝取不飽和脂肪酸（橄欖油、苦茶油、深海魚油）。．減少反式脂肪與飽和脂肪（奶精、炸物、肥肉、奶油）。．烹調方式以蒸、燉、烤為主，少油炸，避免額外熱量與壞油攝取。4、多蔬果高纖，降低膽固醇與穩血糖．三高飲食原則建議每天至少5份蔬果，增加膳食纖維攝取。．高纖有助降低低密度膽固醇（LDL）、促進排便、穩定血糖。．蔬果顏色越多，抗氧化力越高（深綠、紅色、橘黃、紫色）。5、定時定量，控制餐盤比例．三餐按時，避免暴飲暴食與血糖震盪。．餐盤法：1/2蔬菜、1/4全穀、1/4優質蛋白質。．減少宵夜，避免血糖與血脂在夜間偏高。6、攝取優質蛋白質，維持肌肉與代謝．蛋白質來源以魚、去皮雞肉、黃豆製品、低脂乳製品為主。．減少加工肉品（香腸、火腿、培根）以避免過多鈉與飽和脂肪。7、採地中海飲食模式，長期護心．地中海飲食強調多蔬果、豆類、堅果、魚類，全穀取代精緻澱粉，少紅肉。．研究顯示可降低心血管疾病風險，適合三高族群長期採用。三高飲食一日菜單（範例）．早餐：全麥吐司＋水煮蛋＋無糖豆漿＋小番茄．午餐：糙米飯＋清蒸鱸魚＋川燙花椰菜＋炒杏鮑菇．晚餐：燕麥粥＋涼拌豆腐＋燙地瓜葉＋半根香蕉三高飲食控制加分小技巧．多喝水（約2000c.c.），避免含糖飲料與過量咖啡因．外食選擇低鈉、低糖、低飽和脂肪的餐點．每週運動至少150分鐘，幫助穩定血壓與血糖．定期監測血壓、血糖、血脂，記錄變化三高飲食控制不是短期節食，而是長期生活習慣的調整。低鈉飲食、控糖食物、多蔬果高纖、好油取代壞油，加上地中海飲食模式，能有效降血壓、穩血糖、護血管，降低心臟病與中風風險。（記者吳珮均、圖片來源：Dreamstime/典匠影像）延伸閱讀：·為什麼一直控制不了三高？醫揭「常見錯誤習慣」 這1事很多人沒做到·有這「6大生活習慣」易擁有三高體質！年輕人注意 中醫師推1燉飯健脾除濕、調整體質,中性
林保署新竹分署發表「山 ‧ 五度圈」品牌,https://tw.news.yahoo.com/%E6%9E%97%E4%BF%9D%E7%BD%B2%E6%96%B0%E7%AB%B9%E5%88%86%E7%BD%B2%E7%99%BC%E8%A1%A8-%E5%B1%B1-%E4%BA%94%E5%BA%A6%E5%9C%88-%E5%93%81%E7%89%8C-075941009.html,【記者江乾松／綜合報導】,2025/08/26 15:59,林業及自然保育署新竹分署「山 ‧ 五度圈」品牌發表會二十六日上午在松山文創園區-創意空間舉行。林業及自然保育署新竹分署轄下內洞、滿月圓、東眼山、拉拉山及觀霧等五處國家森林遊樂區，各自展現多樣的山林風貌與豐富生態，新竹分署以音樂樂理中的「五度圈」概念，推出「山‧五度圈 Forest Tempo」品牌，以森林為舞台、自然為樂章，邀民眾一同感受自然的律動與森林的溫度。「山‧五度圈 Forest Tempo」品牌名稱結合「山」與「五度圈」的雙重意涵，象徵以五處森林為音階節點，譜出自然的旋律，享受「在森林聽山的節奏」的氛圍，邀請大眾走入林間，透過視覺、聽覺與觸覺的多重感受，感知山林之美。,正向
健保署稽核苗榮服處 榮民眷健保個資保護,https://tw.news.yahoo.com/%E5%81%A5%E4%BF%9D%E7%BD%B2%E7%A8%BD%E6%A0%B8%E8%8B%97%E6%A6%AE%E6%9C%8D%E8%99%95-%E6%A6%AE%E6%B0%91%E7%9C%B7%E5%81%A5%E4%BF%9D%E5%80%8B%E8%B3%87%E4%BF%9D%E8%AD%B7-075756847.html,【記者江乾松／苗栗報導】,2025/08/26 15:57,稽核人員針對檢查結果及建議事項向受檢單位進行說明。▲稽核人員針對檢查結果及建議事項向受檢單位進行說明。苗栗縣榮民服務處接受衛生福利部中央健康保險署一一四年度「電子化政府服務平臺健保資訊中介服務使用管理稽核」，該署由林睿均視察率稽核團隊進行實地查核，榮服處由柯長榮副處長與相關同仁陪同稽核，輔導會統計資訊處沈哲怡科長亦到場給予榮服處業務指導。沈哲怡科長表示，本次稽核針對查詢榮民眷之健保查詢資料情形進行全面檢視，包括查詢合法性、系統使用權限控管、資料使用保密與保護措施等；稽查小組則依「申請健保電子查驗服務機關資訊使用管理稽核紀錄表」及「國軍退除役官兵輔導委員會及所屬機構應用衛生福利部中央健康保險署資訊作業管理要點」進行稽查，確保各項作業程序符合法令規範，保障榮民眷個資安全。苗栗榮服處副處長柯長榮指出，為提升對榮民及眷屬服務效率與便利性，如有洽公民眾未備齊健保資料時，可經得當事人同意，且經由權責長官核可後，透過該系統進行查詢，秉持「合法、正當、必要」之原則辦理，並強化內部管理與教育訓練，確保同仁熟悉相關法規及責任。未來榮服處將持續配合輔導會管理要點，落實各項個資保護機制，確保健保資料運用的合法性，維護榮民眷權益。,正向
